Verb,Tense,Person,English,Kurdish (Latin),Kurdish (Arabic)
Boil Something,Future,I,I will boil,ez dê  kelînim,ئەز دێ كەلینم
Boil Something,Future,You,You will boil,tu dê  kelînî,تو دێ كەلینی
Boil Something,Future,He/She,He/She will boil,ew dê  kelînit,ئەو دێ كەلینیت
Boil Something,Future,We,We will boil,em dê  kelînîn,ئەم دێ كەلینین
Boil Something,Future,You (pl.),You will boil,hîn dê  kelînin,ھین دێ كەلینن
Boil Something,Future,They,They will boil,ew dê  kelînin,ئەو دێ كەلینن
Bombard,Past,I,I bombarded,min qesif kir,من قەسف كر
Bombard,Past,You,You bombarded,te qesif kir,تە قەسف كر
Bombard,Past,He/She,He/She bombarded,ewî/ewê qesif kir,ئەوی/ئەوێ قەسف كر
Bombard,Past,We,We bombarded,me qesif kir,مە قەسف كر
Bombard,Past,You (pl.),You bombarded,hewe qesif kir,ھەوە قەسف كر
Bombard,Past,They,They bombarded,ewan qesif kir,ئەوان قەسف كر
Bombard,Present,I,I bombard,ez qesif di kem,ئەز قەسف د كەم
Bombard,Present,You,You bombard,tu qesif di key,تو قەسف د كەی
Bombard,Present,He/She,He/She bombards,ew qesif di ket,ئەو قەسف د كەت
Bombard,Present,We,We bombard,em qesif di keyn,ئەم قەسف د كەین
Bombard,Present,You (pl.),You bombard,hîn qesif di ken,ھین قەسف د كەن
Bombard,Present,They,They bombard,ew qesif di ken,ئەو قەسف د كەن
Bombard,Future,I,I will bombard,ez dê qesif kem,ئەز دێ قەسف كەم
Bombard,Future,You,You will bombard,tu dê qesif key,تو دێ قەسف كەی
Bombard,Future,He/She,He/She will bombard,ew dê qesif ket,ئەو دێ قەسف كەت
Bombard,Future,We,We will bombard,em dê qesif keyn,ئەم دێ قەسف كەین
Bombard,Future,You (pl.),You will bombard,hîn dê qesif ken,ھین دێ قەسف كەن
Bombard,Future,They,They will bombard,ew dê qesif ken,ئەو دێ قەسف كەن
Book,Past,I,I booked,min ḧiciz kir,من حجز كر
Book,Past,You,You booked,te ḧiciz kir,تە حجز كر
Book,Past,He/She,He/She booked,ewî/ewê ḧiciz kir,ئەوی/ئەوێ حجز كر
Book,Past,We,We booked,me ḧiciz kir,مە حجز كر
Book,Past,You (pl.),You booked,hewe ḧiciz kir,ھەوە حجز كر
Book,Past,They,They booked,ewan ḧiciz kir,ئەوان حجز كر
Book,Present,I,I book,ez ḧiciz di kem,ئەز حجز د كەم
Book,Present,You,You book,tu ḧiciz di key,تو حجز د كەی
Book,Present,He/She,He/She books,ew ḧiciz di ket,ئەو حجز د كەت
Book,Present,We,We book,em ḧiciz di keyn,ئەم حجز د كەین
Book,Present,You (pl.),You book,hîn ḧiciz di ken,ھین حجز د كەن
Book,Present,They,They book,ew ḧiciz di ken,ئەو حجز د كەن
Book,Future,I,I will book,ez dê ḧiciz kem,ئەز دێ حجز كەم
Book,Future,You,You will book,tu dê ḧiciz key,تو دێ حجز كەی
Book,Future,He/She,He/She will book,ew dê ḧiciz ket,ئەو دێ حجز كەت
Book,Future,We,We will book,em dê ḧiciz keyn,ئەم دێ حجز كەین
Book,Future,You (pl.),You will book,hîn dê ḧiciz ken,ھین دێ حجز كەن
Book,Future,They,They will book,ew dê ḧiciz ken,ئەو دێ حجز كەن
Bow,Past,I,I bowed,min xo çemand,من خو چەماند
Bow,Past,You,You bowed,te xo çemand,تە خو چەماند
Bow,Past,He/She,He/She bowed,wî/wê xo çemand,وی/وێ خو چەماند
Bow,Past,We,We bowed,me xo çemand,مە خو چەماند
Bow,Past,You (pl.),You bowed,we xo çemand,وە خو چەماند
Bow,Past,They,They bowed,wan xo çemand,وان خو چەماند
Bow,Present,I,I bow,ez xo di çemînim,ئەز خو د چەمینم
Bow,Present,You,You bow,tu xo di çemînî,تو خو د چەمینی
Bow,Present,He/She,He/She bows,ew xo di çemînit,ئەو خو د چەمینیت
Bow,Present,We,We bow,em xo di çemînîn,ئەم خو د چەمینین
Bow,Present,You (pl.),You bow,hîn xo di çemînin,ھین خو د چەمینن
Bow,Present,They,They bow,ew xo di çemînin,ئەو خو د چەمینن
Bow,Future,I,I will bow,ez dê xo çemînim,ئەز دێ خو چەمینم
Bow,Future,You,You will bow,tu dê xo çemînî,تو دێ خو چەمینی
Bow,Future,He/She,He/She will bow,ew dê xo çemînit,ئەو دێ خو چەمینیت
Bow,Future,We,We will bow,em dê xo çemînîn,ئەم دێ خو چەمینین
Bow,Future,You (pl.),You will bow,hîn dê xo çemînin,ھین دێ خو چەمینن
Bow,Future,They,They will bow,ew dê xo çemînin,ئەو دێ خو چەمینن
Brag,Past,I,I bragged,min metḧe (bi OW) kirin,من مەتحە كرن
Brag,Past,You,You bragged,te metḧe (bi OW) kirin,تە مەتحە كرن
Brag,Past,He/She,He/She bragged,ewî/ewê metḧe (bi OW) kirin,ئەوی/ئەوێ مەتحە كرن
Brag,Past,We,We bragged,me metḧe (bi OW) kirin,مە مەتحە كرن
Brag,Past,You (pl.),You bragged,hewe metḧe (bi OW) kirin,ھەوە مەتحە كرن
Brag,Past,They,They bragged,ewan metḧe (bi OW) kirin,ئەوان مەتحە كرن
Brag,Present,I,I brag,ez metḧe (bi OW) di kem,ئەز مەتحە د كەم
Brag,Present,You,You brag,tu metḧe (bi OW) di key,تو مەتحە د كەی
Brag,Present,He/She,He/She brags,ew metḧe (bi OW) di ket,ئەو مەتحە د كەت
Brag,Present,We,We brag,em metḧe (bi OW) di keyn,ئەم مەتحە د كەین
Brag,Present,You (pl.),You brag,hîn metḧe (bi OW) di ken,ھین مەتحە د كەن
Brag,Present,They,They brag,ew metḧe (bi OW) di ken,ئەو مەتحە د كەن
Brag,Future,I,I will brag,ez dê metḧe (bi OW) kem,ئەز دێ مەتحە كەم
Brag,Future,You,You will brag,tu dê metḧe (bi OW) key,تو دێ مەتحە كەی
Brag,Future,He/She,He/She will brag,ew dê metḧe (bi OW) ket,ئەو دێ مەتحە كەت
Brag,Future,We,We will brag,em dê metḧe (bi OW) keyn,ئەم دێ مەتحە كەین
Brag,Future,You (pl.),You will brag,hîn dê metḧe (bi OW) ken,ھین دێ مەتحە كەن
Brag,Future,They,They will brag,ew dê metḧe (bi OW) ken,ئەو دێ مەتحە كەن
Break,Past,I,&lt;Not Used&gt;,&lt;Not Used&gt;,نە
Break,Past,You,&lt;Not Used&gt;,&lt;Not Used&gt;,نە
Break,Past,He/She,He/She broke,ewî/ewê şkest,ئەوی/ئەوێ شكەست
Break,Past,We,&lt;Not Used&gt;,&lt;Not Used&gt;,نە
Break,Past,You (pl.),&lt;Not Used&gt;,&lt;Not Used&gt;,نە
Break,Past,They,&lt;Not Used&gt;,ewan şkest,ئەوان شكەست
Break,Present,I,&lt;Not Used&gt;,&lt;Not Used&gt;,نە
Break,Present,You,&lt;Not Used&gt;,&lt;Not Used&gt;,نە
Break,Present,He/She,He/She breaks,ew di şkêt,ئەو د شكێت
Break,Present,We,&lt;Not Used&gt;,&lt;Not Used&gt;,نە
Break,Present,You (pl.),&lt;Not Used&gt;,&lt;Not Used&gt;,نە
Break,Present,They,They break,ew di şkên,ئەو د شكێن
Break,Future,I,&lt;Not Used&gt;,&lt;Not Used&gt;,نە
Break,Future,You,&lt;Not Used&gt;,&lt;Not Used&gt;,نە
Break,Future,He/She,He/She will break,ew dê şkêt,ئەو دێ شكێت
Break,Future,We,&lt;Not Used&gt;,&lt;Not Used&gt;,نە
Break,Future,You (pl.),&lt;Not Used&gt;,&lt;Not Used&gt;,نە
Break,Future,They,They will break,ew dê şkên,ئەو دێ شكێن
Break Something,Past,I,I broke,min  şkand,من شلاند
Break Something,Past,You,You broke,te  şkand,تە شلاند
Break Something,Past,He/She,He/She broke,ewî/ewê  şkand,ئەوی/ئەوێ شلاند
Break Something,Past,We,We broke,me  şkand,مە شلاند
Break Something,Past,You (pl.),You broke,hewe  şkand,ھەوە شلاند
Break Something,Past,They,They broke,ewan  şkand,ئەوان شلاند
Break Something,Present,I,I break,ez  di şkênim,ئەز د شكێنم
Break Something,Present,You,You break,tu  di şkênî,تو د شكێنی
Break Something,Present,He/She,He/She breaks,ew  di şkênit,ئەو د شكێنیت
Break Something,Present,We,We break,em  di şkênîn,ئەم د شكێنین
Break Something,Present,You (pl.),You break,hîn  di şkênin,ھین د شكێنن
Break Something,Present,They,They break,ew  di şkênin,ئەو د شكێنن
Break Something,Future,I,I will break,ez dê  şkênim,ئەز دێ شكێنم
Break Something,Future,You,You will break,tu dê  şkênî,تو دێ شكێنی
Break Something,Future,He/She,He/She will break,ew dê  şkênit,ئەو دێ شكێنیت
Break Something,Future,We,We will break,em dê  şkênîn,ئەم دێ شكێنین
Break Something,Future,You (pl.),You will break,hîn dê  şkênin,ھین دێ شكێنن
Break Something,Future,They,They will break,ew dê  şkênin,ئەو دێ شكێنن
Breathe,Past,I,I breathed,min bêhna xo keyşa,من بێھنا خو كەیشا
Breathe,Past,You,You breathed,te bêhna xo keyşa,تە بێھنا خو كەیشا
Breathe,Past,He/She,He/She breathed,ewî/ewê bêhna xo keyşa,ئەوی/ئەوێ بێھنا خو كەیشا
Breathe,Past,We,We breathed,me bêhna xo keyşa,مە بێھنا خو كەیشا
Breathe,Past,You (pl.),You breathed,hewe bêhna xo keyşa,ھەوە بێھنا خو كەیشا
Breathe,Past,They,They breathed,ewan bêhna xo keyşa,ئەوان بێھنا خو كەیشا
Breathe,Present,I,I breathe,ez bêhna xo di keşim,ئەز بێھنا خو د كەشم
Breathe,Present,You,You breathe,tu bêhna xo di keşî,تو بێھنا خو د كەشی
Breathe,Present,He/She,He/She breathes,ew bêhna xo di keşit,ئەو بێھنا خو د كەشیت
Breathe,Present,We,We breathe,em bêhna xo di keşîn,ئەم بێھنا خو د كەشین
Breathe,Present,You (pl.),You breathe,hîn bêhna xo di keşin,ھین بێھنا خو د كەشن
Breathe,Present,They,They breathe,ew bêhna xo di keşin,ئەو بێھنا خو د كەشن
Breathe,Future,I,I will breathe,ez dê bêhna xo keşim,ئەز دێ بێھنا خو كەشم
Breathe,Future,You,You will breathe,tu dê bêhna xo keşî,تو دێ بێھنا خو كەشی
Breathe,Future,He/She,He/She will breathe,ew dê bêhna xo keşit,ئەو دێ بێھنا خو كەشیت
Breathe,Future,We,We will breathe,em dê bêhna xo keşîn,ئەم دێ بێھنا خو كەشین
Breathe,Future,You (pl.),You will breathe,hîn dê bêhna xo keşin,ھین دێ بێھنا خو كەشن
Breathe,Future,They,They will breathe,ew dê bêhna xo keşin,ئەو دێ بێھنا خو كەشن
Bring,Past,I,I brought, ez înam,ئەز ئینام
Bring,Past,You,You brought, tu înaî,تو ئینای
Bring,Past,He/She,He/She brought, ew îna,ئەو ئینا
Bring,Past,We,We brought, em înaîn,ئەم ئیناین
Bring,Past,You (pl.),You brought, hîn înan,ھین ئینان
Bring,Past,They,They brought, ew înan,ئەو ئینان
Bring,Present,I,I bring,ez  di înim,ئەز د ئینم
Bring,Present,You,You bring,tu  di înî,تو د ئینی
Bring,Present,He/She,He/She brings,ew  di înit,ئەو د ئینیت
Bring,Present,We,We bring,em  di înîn,ئەم د ئینین
Bring,Present,You (pl.),You bring,hîn  di înin,ھین د ئینن
Bring,Present,They,They bring,ew  di înin,ئەو د ئینن
Bring,Future,I,I will bring,ez dê  înim,ئەز دێ ئینم
Bring,Future,You,You will bring,tu dê  înî,تو دێ ئینی
Bring,Future,He/She,He/She will bring,ew dê  înit,ئەو دێ ئینیت
Bring,Future,We,We will bring,em dê  înîn,ئەم دێ ئینین
Bring,Future,You (pl.),You will bring,hîn dê  înin,ھین دێ ئینن
Bring,Future,They,They will bring,ew dê  înin,ئەو دێ ئینن
Brush Teeth,Past,I,I brushed teeth,min didanêt xo şişt,من ددانێت خو ششت
Brush Teeth,Past,You,You brushed teeth,te didanêt xo şişt,تە ددانێت خو ششت
Brush Teeth,Past,He/She,He/She brushed teeth,ewî/ewê didanêt xo şişt,ئەوی/ئەوێ ددانێت خو ششت
Brush Teeth,Past,We,We brushed teeth,me didanêt xo şişt,مە ددانێت خو ششت
Brush Teeth,Past,You (pl.),You brushed teeth,hewe didanêt xo şişt,ھەوە ددانێت خو ششت
Brush Teeth,Past,They,They brushed teeth,ewan didanêt xo şişt,ئەوان ددانێت خو ششت
Brush Teeth,Present,I,I brush teeth,ez didanêt xo di şum,ئەز ددانێت خو د شوم
Brush Teeth,Present,You,You brush teeth,tu didanêt xo di şuî,تو ددانێت خو د شوی
Brush Teeth,Present,He/She,He/She brushes teeth,ew didanêt xo di şut,ئەو ددانێت خو د شوت
Brush Teeth,Present,We,We brush teeth,em didanêt xo di şuîn,ئەم ددانێت خو د شوین
Brush Teeth,Present,You (pl.),You brush teeth,hîn didanêt xo di şun,ھین ددانێت خو د شون
Brush Teeth,Present,They,They brush teeth,ew didanêt xo di şun,ئەو ددانێت خو د شون
Brush Teeth,Future,I,I will brush teeth,ez dê didanêt xo şum,ئەز دێ ددانێت خو شوم
Brush Teeth,Future,You,You will brush teeth,tu dê didanêt xo şuî,تو دێ ددانێت خو شوی
Brush Teeth,Future,He/She,He/She will brush teeth,ew dê didanêt xo şut,ئەو دێ ددانێت خو شوت
Brush Teeth,Future,We,We will brush teeth,em dê didanêt xo şuîn,ئەم دێ ددانێت خو شوین
Brush Teeth,Future,You (pl.),You will brush teeth,hîn dê didanêt xo şun,ھین دێ ددانێت خو شون
Brush Teeth,Future,They,They will brush teeth,ew dê didanêt xo şun,ئەو دێ ددانێت خو شون
Build,Past,I,I built,min  ava kir,من ئاڤا كر
Build,Past,You,You built,te  ava kir,تە ئاڤا كر
Build,Past,He/She,He/She built,ewî/ewê  ava kir,ئەوی/ئەوێ ئاڤا كر
Build,Past,We,We built,me  ava kir,مە ئاڤا كر
Build,Past,You (pl.),You built,hewe  ava kir,ھەوە ئاڤا كر
Build,Past,They,They built,ewan  ava kir,ئەوان ئاڤا كر
Build,Present,I,I build,ez  ava di kem,ئەز ئاڤا د كەم
Build,Present,You,You build,tu  ava di key,تو ئاڤا د كەی
Build,Present,He/She,He/She builds,ew  ava di ket,ئەو ئاڤا د كەت
Build,Present,We,We build,em  ava di keyn,ئەم ئاڤا د كەین
Build,Present,You (pl.),You build,hîn  ava di ken,ھین ئاڤا د كەن
Build,Present,They,They build,ew  ava di ken,ئەو ئاڤا د كەن
Build,Future,I,I will build,ez dê  ava kem,ئەز دێ ئاڤا كەم
Build,Future,You,You will build,tu dê  ava key,تو دێ ئاڤا كەی
Build,Future,He/She,He/She will build,ew dê  ava ket,ئەو دێ ئاڤا كەت
Build,Future,We,We will build,em dê  ava keyn,ئەم دێ ئاڤا كەین
Build,Future,You (pl.),You will build,hîn dê  ava ken,ھین دێ ئاڤا كەن
Build,Future,They,They will build,ew dê ava  ken,ئەو دێ ئاڤا كەن
Burn,Past,I,I burned, ez sotim,ئەز سوتم
Burn,Past,You,You burned, tu sotî,تو سوتی
Burn,Past,He/She,He/She burned, ew sot,ئەو سوت
Burn,Past,We,We burned, em sotîn,ئەم سوتین
Burn,Past,You (pl.),You burned, hîn sotin,ھین سوتن
Burn,Past,They,They burned, ew sotin,ئەو سوتن
Burn,Present,I,I burn,ez  di sujim,ئەز د سوژم
Burn,Present,You,You burn,tu  di sujî,تو د سوژی
Burn,Present,He/She,He/She burns,ew  di sujit,ئەو د سوژیت
Burn,Present,We,We burn,em  di sujîn,ئەم د سوژین
Burn,Present,You (pl.),You burn,hîn  di sujin,ھین د سوژن
Burn,Present,They,They burn,ew  di sujin,ئەو د سوژن
Burn,Future,I,I will burn,ez dê  sujim,ئەز دێ سوژم
Burn,Future,You,You will burn,tu dê  sujî,تو دێ سوژی
Burn,Future,He/She,He/She will burn,ew dê  sujit,ئەو دێ سوژیت
Burn,Future,We,We will burn,em dê  sujîn,ئەم دێ سوژین
Burn,Future,You (pl.),You will burn,hîn dê  sujin,ھین دێ سوژن
Burn,Future,They,They will burn,ew dê  sujin,ئەو دێ سوژن
Buy,Past,I,I bought,min  kirî,من كری
Buy,Past,You,You bought,te  kirî,تە كری
Buy,Past,He/She,He/She bought,ewî/ewê  kirî,ئەوی/ئەوێ كری
Buy,Past,We,We bought,me  kirî,مە كری
Buy,Past,You (pl.),You bought,hewe  kirî,ھەوە كری
Buy,Past,They,They bought,ewan  kirî,ئەوان كری
Buy,Present,I,I buy,ez  di kirim,ئەز د كرم
Buy,Present,You,You buy,tu  di kirî,تو د كری
Buy,Present,He/She,He/She buys,ew  di kirit,ئەو د كریت
Buy,Present,We,We buy,em  di kirîn,ئەم د كرین
Buy,Present,You (pl.),You buy,hîn  di kirin,ھین د كرن
Buy,Present,They,They buy,ew  di kirin,ئەو د كرن
Buy,Future,I,I will buy,ez dê  kirim,ئەز دێ كرم
Buy,Future,You,You will buy,tu dê  kirî,تو دێ كری
Buy,Future,He/She,He/She will buy,ew dê  kirit,ئەو دێ كریت
Buy,Future,We,We will buy,em dê  kirîn,ئەم دێ كرین
Buy,Future,You (pl.),You will buy,hîn dê  kirin,ھین دێ كرن
Buy,Future,They,They will buy,ew dê  kirin,ئەو دێ كرن
Call Out,Past,I,I called out,min gazî  kir,من گازی كر
Call Out,Past,You,You called out,te gazî  kir,تە گازی كر
Call Out,Past,He/She,He/She called out,ewî/ewê gazî  kir,ئەوی/ئەوێ گازی كر
Call Out,Past,We,We called out,me gazî  kir,مە گازی كر
Call Out,Past,You (pl.),You called out,hewe gazî  kir,ھەوە گازی كر
Call Out,Past,They,They called out,ewan gazî  kir,ئەوان گازی كر
Call Out,Present,I,I call out,ez gazî  di kem,ئەز گازی د كەم
Call Out,Present,You,You call out,tu gazî  di key,تو گازی د كەی
Call Out,Present,He/She,He/She calls out,ew gazî  di ket,ئەو گازی د كەت
Call Out,Present,We,We call out,em gazî  di keyn,ئەم گازی د كەین
Call Out,Present,You (pl.),You call out,hîn gazî  di ken,ھین گازی د كەن
Call Out,Present,They,They call out,ew gazî  di ken,ئەو گازی د كەن
Call Out,Future,I,I will call out,ez dê gazî  kem,ئەز دێ گازی كەم
Call Out,Future,You,You will call out,tu dê gazî  key,تو دێ گازی كەی
Call Out,Future,He/She,He/She will call out,ew dê gazî  ket,ئەو دێ گازی كەت
Call Out,Future,We,We will call out,em dê gazî  keyn,ئەم دێ گازی كەین
Call Out,Future,You (pl.),You will call out,hîn dê gazî  ken,ھین دێ گازی كەن
Call Out,Future,They,They will call out,ew dê gazî  ken,ئەو دێ گازی كەن
Cancel,Past,I,I canceled,min  le''o kir,من لەغو كر
Cancel,Past,You,You canceled,te  le''o kir,تە لەغو كر
Cancel,Past,He/She,He/She canceled,ewî/ewê  le''o kir,ئەوی/ئەوێ لەغو كر
Cancel,Past,We,We canceled,me  le''o kir,مە لەغو كر
Cancel,Past,You (pl.),You canceled,hewe  le''o kir,ھەوە لەغو كر
Cancel,Past,They,They canceled,ewan  le''o kir,ئەوان لەغو كر
Cancel,Present,I,I cancel,ez  le''o di kem,ئەز لەغو د كەم
Cancel,Present,You,You cancel,tu  le''o di key,تو لەغو د كەی
Cancel,Present,He/She,He/She cancels,ew  le''o di ket,ئەو لەغو د كەت
Cancel,Present,We,We cancel,em  le''o di keyn,ئەم لەغو د كەین
Cancel,Present,You (pl.),You cancel,hîn  le''o di ken,ھین لەغو د كەن
Cancel,Present,They,They cancel,ew  le''o di ken,ئەو لەغو د كەن
Cancel,Future,I,I will cancel,ez dê  le''o kem,ئەز دێ لەغو كەم
Cancel,Future,You,You will cancel,tu dê  le''o key,تو دێ لەغو كەی
Cancel,Future,He/She,He/She will cancel,ew dê  le''o ket,ئەو دێ لەغو كەت
Cancel,Future,We,We will cancel,em dê  le''o keyn,ئەم دێ لەغو كەین
Cancel,Future,You (pl.),You will cancel,hîn dê  le''o ken,ھین دێ لەغو كەن
Cancel,Future,They,They will cancel,ew dê  le''o ken,ئەو دێ لەغو كەن
Catch,Past,I,I caught, ez girtim,ئەز گرتم
Catch,Past,You,You caught, tu girtî,تو گرتی
Catch,Past,He/She,He/She caught, ew girt,ئەو گرت
Catch,Past,We,We caught, em girtîn,ئەم گرتین
Catch,Past,You (pl.),You caught, hîn girtin,ھین گرتن
Catch,Past,They,They caught, ew girtin,ئەو گرتن
Catch,Present,I,I catch,ez  di girim,ئەز د گرم
Catch,Present,You,You catch,tu  di girî,تو د گری
Catch,Present,He/She,He/She catches,ew  di girit,ئەو د گریت
Catch,Present,We,We catch,em  di girîn,ئەم د گرین
Catch,Present,You (pl.),You catch,hîn  di girin,ھین د گرن
Catch,Present,They,They catch,ew  di girin,ئەو د گرن
Catch,Future,I,I will catch,ez dê  girim,ئەز دێ گرم
Catch,Future,You,You will catch,tu dê  girî,تو دێ گری
Catch,Future,He/She,He/She will catch,ew dê  girit,ئەو دێ گریت
Catch,Future,We,We will catch,em dê  girîn,ئەم دێ گرین
Catch,Future,You (pl.),You will catch,hîn dê  girin,ھین دێ گرن
Catch,Future,They,They will catch,ew dê  girin,ئەو دێ گرن
Catch Something Hunting,Past,I,I caught something hunting,min  li nêçîrê girt,من ل نێچیرێ گرت
Catch Something Hunting,Past,You,You caught something hunting,te  li nêçîrê girt,تە ل نێچیرێ گرت
Catch Something Hunting,Past,He/She,He/She caught something hunting,ewî/ewê  li nêçîrê girt,ئەوی/ئەوێ ل نێچیرێ گرت
Catch Something Hunting,Past,We,We caught something hunting,me  li nêçîrê girt,مە ل نێچیرێ گرت
Catch Something Hunting,Past,You (pl.),You caught something hunting,hewe  li nêçîrê girt,ھەوە ل نێچیرێ گرت
Catch Something Hunting,Past,They,They caught something hunting,ewan  li nêçîrê girt,ئەوان ل نێچیرێ گرت
Catch Something Hunting,Present,I,I catch something hunting,ez  li nêçîrê di girim,ئەز ل نێچیرێ د گرم
Catch Something Hunting,Present,You,You catch something hunting,tu  li nêçîrê di girî,تو ل نێچیرێ د گری
Catch Something Hunting,Present,He/She,He/She catches something hunting,ew  li nêçîrê di girit,ئەو ل نێچیرێ د گریت
Catch Something Hunting,Present,We,We catch something hunting,em  li nêçîrê di girîn,ئەم ل نێچیرێ د گرین
Catch Something Hunting,Present,You (pl.),You catch something hunting,hîn  li nêçîrê di girin,ھین ل نێچیرێ د گرن
Catch Something Hunting,Present,They,They catch something hunting,ew  li nêçîrê di girin,ئەو ل نێچیرێ د گرن
Catch Something Hunting,Future,I,I will catch something hunting,ez dê  li nêçîrê girim,ئەز دێ ل نێچیرێ گرم
Catch Something Hunting,Future,You,You will catch something hunting,tu dê  li nêçîrê girî,تو دێ ل نێچیرێ گری
Catch Something Hunting,Future,He/She,He/She will catch something hunting,ew dê  li nêçîrê girit,ئەو دێ ل نێچیرێ گریت
Catch Something Hunting,Future,We,We will catch something hunting,em dê  li nêçîrê girîn,ئەم دێ ل نێچیرێ گرین
Catch Something Hunting,Future,You (pl.),You will catch something hunting,hîn dê  li nêçîrê girin,ھین دێ ل نێچیرێ گرن
Catch Something Hunting,Future,They,They will catch something hunting,ew dê  li nêçîrê girin,ئەو دێ ل نێچیرێ گرن
Change,Past,I,I changed, ez guhartim,ئەز گوھارتم
Change,Past,You,You changed, tu guhartî,تو گوھارتی
Change,Past,He/She,He/She changed, ew guhart,ئەو گوھارت
Change,Past,We,We changed, em guhartîn,ئەم گوھارتین
Change,Past,You (pl.),You changed, hîn guhartin,ھین گوھارتن
Change,Past,They,They changed, ew guhartin,ئەو گوھارتن
Change,Present,I,I change,ez  di guhorim,ئەز د گوھورم
Change,Present,You,You change,tu  di guhorî,تو د گوھوری
Change,Present,He/She,He/She changes,ew  di guhorit,ئەو د گوھوریت
Change,Present,We,We change,em  di guhorîn,ئەم د گوھورین
Change,Present,You (pl.),You change,hîn  di guhorin,ھین د گوھورن
Change,Present,They,They change,ew  di guhorin,ئەو د گوھورن
Change,Future,I,I will change,ez dê  guhorim,ئەز دێ گوھورم
Change,Future,You,You will change,tu dê  guhorî,تو دێ گوھوری
Change,Future,He/She,He/She will change,ew dê  guhorit,ئەو دێ گوھوریت
Change,Future,We,We will change,em dê  guhorîn,ئەم دێ گوھورین
Change,Future,You (pl.),You will change,hîn dê  guhorin,ھین دێ گوھورن
Change,Future,They,They will change,ew dê  guhorin,ئەو دێ گوھورن
Change,Past,I,I changed, ez bedil kirim,ئەز بەدل كرم
Change,Past,You,You changed, tu bedil kirî,تو بەدل كری
Change,Past,He/She,He/She changed, ew bedil kir,ئەو بەدل كر
Change,Past,We,We changed, em bedil kirîn,ئەم بەدل كرین
Change,Past,You (pl.),You changed, hîn bedil kirin,ھین بەدل كرن
Change,Past,They,They changed, ew bedil kirin,ئەو بەدل كرن
Change,Present,I,I change,ez  bedil di kem,ئەز بەدل د كەم
Change,Present,You,You change,tu  bedil di key,تو بەدل د كەی
Change,Present,He/She,He/She changes,ew  bedil di ket,ئەو بەدل د كەت
Change,Present,We,We change,em  bedil di keyn,ئەم بەدل د كەین
Change,Present,You (pl.),You change,hîn  bedil di ken,ھین بەدل د كەن
Change,Present,They,They change,ew  bedil di ken,ئەو بەدل د كەن
Change,Future,I,I will change,ez dê  bedil kem,ئەز دێ بەدل كەم
Change,Future,You,You will change,tu dê  bedil key,تو دێ بەدل كەی
Change,Future,He/She,He/She will change,ew dê  bedil ket,ئەو دێ بەدل كەت
Change,Future,We,We will change,em dê  bedil keyn,ئەم دێ بەدل كەین
Change,Future,You (pl.),You will change,hîn dê  bedil ken,ھین دێ بەدل كەن
Change,Future,They,They will change,ew dê  bedil ken,ئەو دێ بەدل كەن
Cheat,Past,I,I cheated,min ''iş kir,من غش كر
Cheat,Past,You,You cheated,te ''iş kir,تە غش كر
Cheat,Past,He/She,He/She cheated,ewî/ewê ''iş kir,ئەوی/ئەوێ غش كر
Cheat,Past,We,We cheated,me ''iş kir,مە غش كر
Cheat,Past,You (pl.),You cheated,hewe ''iş kir,ھەوە غش كر
Cheat,Past,They,They cheated,ewan ''iş kir,ئەوان غش كر
Cheat,Present,I,I cheat,ez ''iş di kem,ئەز غش د كەم
Cheat,Present,You,You cheat,tu ''iş di key,تو غش د كەی
Cheat,Present,He/She,He/She cheats,ew ''iş di ket,ئەو غش د كەت
Cheat,Present,We,We cheat,em ''iş di keyn,ئەم غش د كەین
Cheat,Present,You (pl.),You cheat,hîn ''iş di ken,ھین غش د كەن
Cheat,Present,They,They cheat,ew ''iş di ken,ئەو غش د كەن
Cheat,Future,I,I will cheat,ez dê ''iş kem,ئەز دێ غش كەم
Cheat,Future,You,You will cheat,tu dê ''iş key,تو دێ غش كەی
Cheat,Future,He/She,He/She will cheat,ew dê ''iş ket,ئەو دێ غش كەت
Cheat,Future,We,We will cheat,em dê ''iş keyn,ئەم دێ غش كەین
Cheat,Future,You (pl.),You will cheat,hîn dê ''iş ken,ھین دێ غش كەن
Cheat,Future,They,They will cheat,ew dê ''iş ken,ئەو دێ غش كەن
Cheat,Past,I,I cheated,min ḧîl kirin,من حیل كرن
Cheat,Past,You,You cheated,te ḧîl kirin,تە حیل كرن
Cheat,Past,He/She,He/She cheated,ewî/ewê ḧîl kirin,ئەوی/ئەوێ حیل كرن
Cheat,Past,We,We cheated,me ḧîl kirin,مە حیل كرن
Cheat,Past,You (pl.),You cheated,hewe ḧîl kirin,ھەوە حیل كرن
Cheat,Past,They,They cheated,ewan ḧîl kirin,ئەوان حیل كرن
Cheat,Present,I,I cheat,ez ḧîla di kem,ئەز حیلا د كەم
Cheat,Present,You,You cheat,tu ḧîla di key,تو حیلا د كەی
Cheat,Present,He/She,He/She cheats,ew ḧîla di ket,ئەو حیلا د كەت
Cheat,Present,We,We cheat,em ḧîla di keyn,ئەم حیلا د كەین
Cheat,Present,You (pl.),You cheat,hîn ḧîla di ken,ھین حیلا د كەن
Cheat,Present,They,They cheat,ew ḧîla di ken,ئەو حیلا د كەن
