English,Kurdish (Latin),Kurdish (Arabic Script),Arabic,Transliteration
gentleman,rêzdar,ڕێزدار,انسان محترم,"jamêr, ḧêzha, brêz, rêzdar"
gentleman,hêja,هێژا,انسان محترم,"jamêr, ḧêzha, brêz, rêzdar"
harmony,lihevî,لهه‌ڤی,انسجام,luḧevee
harmony,harmonî,هارمۆنی,انسجام,ḧarmonee
harmony,hevhizir,هه‌ڤهزر,انسجام,aḧeng
withdrawal,vekêşan,ڤەکێشان,انسحاب,vekêshan
opt out,vekêşîn,ڤه‌کێشین,انسحب,vekêsheen
split,derizîn,ده‌رزین,انشق، مزق,deruzeen
split,jêkvebûn,ژێکڤه‌بوون,انشق، مزق,zhêkvebûn
join,beşdarî bûn,به‌شداری بوون,انضم,beshdaree bûn
join,pêkve girêdan,پێکڤه‌ گرێدان,انضم,beshdaree bûn
join,digehtê,دگەھتێ,انضم,dugeḧtê
go straight,rrast herre,ڕاست ھەڕە,انطلق الأمام,rrast ḧerre
introvert,pixût,پخووت,انطوائي,puxût
look!,binêre,بنێرە,انظر,bunêre
look!,berê xo bidê!,بەرێ خۆ بدێ!,انظر,berê xo budê!
look at,berê xwe dan,به‌رێ خوه‌ دان,انظر الى,berê xwe dan
look at,seḧ kirin,سەح کرن,انظر الى,seḧ krun
looking at,seḧdiketê,سەحدكەتێ,انظر الى,seḧduketê
turn left,destê çepê,دەستێ چەپێ,انعطف لليسار,destê chepê
turn right,destê rastê,دەستێ راستێ,انعطف يمينا,destê rastê
formation,"pêkînan, pêkanîn",پێکینان، پێکانین,انعقاد,"pêkeenan, pêkaneen"
reflection,"daneve, reng vedan",دانەڤە، رەنگ ڤەدان,انعكاس,"daneve, reng vedan"
reflection,"serinc , vebeyîn , hizirkirin",سه‌رنج ، ڤه‌به‌یین ، هزرکرن,انعكاس,"serunce , vebeyeen , ḧuzurkrun"
bang,gurmên,گورمێن,انفجار,gurmên
blast,teqîn,ته‌قین,انفجار,teqeen
burst,"peqîn, teqîn",په‌قین، ته‌قین,انفجار,"peqeen, teqeen"
explosion,peqîn,پەقین,انفجار,peqeen
explosion,teqîn,تەقین,انفجار,teqeen
volcanic eruption,agir jê hat der,ئاگر ژێ هات دەر,انفجار بركاني,agur zhê ḧat der
detachment,derxistin,ده‌رخستن,انفصال,derxustun
detachment,rakirin,ڕاکرن,انفصال,rakrun
divagate,varê bûn,ڤارێ بوون,انفصل,varê bûn
cold flu,perisîv,پەرسیڤ,انفلونزا الباردة,peruseev
pass away,çûn rehimetê,چوون ڕه‌همه‌تێ,انقضى,chûn reḧumetê
pass away,rehmet kirin,ڕه‌همه‌ت کرن,انقضى,reḧmet krun
pass away,jiyana xwe ji dest dan,ژیانا خوه‌ ژ ده‌ست دان,انقضى,zhuyana xwe zhu dest dan
pass away,jiyana xwe winda kirin,ژیانا خوه‌ وندا کرن,انقضى,zhuyana xwe wunda krun
pass away,giyanê xwe jidest dan,گيانێ خوه‌ ژده‌ست دان,انقضى,guyanê xwe zhudest dan
pass away,mallavayî kirîye,ماڵئاڤایی کرییە,انقضى,mallavayee kreeye
passed away,emirê xudê kir,ئەمرێ خودێ کر,انقضى,emurê xudê kr
disconnected,vekirî,ڤه‌کری,انقطع الاتصال,vekree
inversion,vinajîbû,ڤناژیبوو,انقلاب,vunazheebû
she was engaged to sultan,ew dezgra sltan bû,ئەو دەزگرا سلتان بوو,انها كانت مخطوبة لسلطان,ew dezgra sltan bû
stand up!,rabe ji pê ve,رابە ژ پێ ڤە,انهض!,rabe zhu pê ve
collapsing,herrfîn,هه‌ڕفین,انهيار,ḧerrfeen
nervous breakdown,temametiya 'îczbînê,ته‌مامه‌تیا عیجزبینێ,انهيار عصبي,temametuya 'eejzbeenê
mudslide,çiya herfî,چیا هەرفی,انهيار وحلي,chuya ḧerfee
vibration,lerz,له‌رز,اهتزاز,lerz
vibration,lerizîn,له‌رزین,اهتزاز,leruzeen
interest,"faîz, selef",فائیز، سه‌له‌ف,اھتمام,"faeez, selef"
interest,fayde,فایدە,اھتمام,fayde
interest,"mereq, hewes, arezû",مه‌ره‌ق، هه‌وه‌س، ئاره‌زوو,اھتمام,"mereq, ḧewes, arezû"
interest (additional payment),riba,ڕبا,اھتمام,"ruba, reeba"
interest (additional payment),rîba,ڕیبا,اھتمام,"ruba, reeba"
interests,berjewndîyên,بەرژەوندیێن,اھتمام,berzhewndeeyên
run away,dirrevît,دڕەڤیت,اھرب,durreveet
leaves,belgan,به‌لگان,اوراق اشجار,belgan
first time,cara ewlî,جارا ئەولی,اول مرة,jara ewlee
whatever,çi be,چ به‌,ايا كان,chu be
deliver,radestî,رادەستی,ايصال,radestee
kurdish letter 03 (“b” sound),b,ب,ب,b
misery,xembarî,خەمبارى,بؤس,xembaree
misery,rezîlî,ره‌زیلی,بؤس,rezeelee
misery,riswabûn,ڕسوابوون,بؤس,rezeelee
tight,teng,ته‌نگ,بإحكام,teng
tightly,qewî,قەوى,بإحكام,qewee
miserable,xembar,خەمبار,بائس,xembar
miserable,"riswa, rezîl",ڕسوا، ڕه‌زیل,بائس,"ruswa, rezeel"
florist,gul firoş,گول فرۆش,بائع الزھور,gul furosh
prostitute,kirûng,کروونگ,بائعة هوى,krûng
prostitute,leşfiroş,له‌شفرۆش,بائعة هوى,leshfurosh
chapter,babet,بابه‌ت,باب,babet
chapter,beş,به‌ش,باب,besh
chapter,pişik,پشك,باب,pushuk
door,derî,ده‌ری,باب,deree
door,derigeh,دەرگەھ,باب,derugeḧ
seeker,daxwazker,داخوازکه‌ر,باحث,daxwazker
nutshell,tîvlê gwîzê,تیڤلێ گویزێ,باختصار,teevlê gweezê
short,kurt,كورت,باختصار,krt
short (in height),qunde,قوندە,باختصار (في الطول),qunde
prefix,pêşgir,پێشگر,بادئة,pêshgur
eggplant,bacan reş,باجان رەش,باذنجان,bajan resh
cool,tezî,تەزی,بارد,"sar, tezee"
cool,sar,سار,بارد,"sar, tezee"
shallow,tenik,ته‌نک,بارز,tenuk
shallow,qam,قام,بارز,qam
skillful,zîrek,زیره‌ک,بارع,zeerek
skillful,jêhatî,ژێهاتی,بارع,zhêḧatee
bless,bereket,بەرەكەت,بارك,bereket
bless,bereketdarkirin,بەرەكەتداركرن,بارك,bereketdarkrun
bless,pîroz diket,پیرۆز دکەت,بارك,peeroz duket
bless,sitirandin,ستراندن,بارك,bereketdarkrun
bless,kirin pîroz,کرن پیرۆز,بارك,krun peeroz
God bless you,xudê te bereketdar diket,خودێ تە بەرەكەتدار دكەت,بارك اللھ فيك,xudê te bereketdar duket
God bless you,yiriḧmik alle,یرحمك اللە‌,بارك اللھ فيك,yuruḧmuk alle
peas,"kelîk , fasolî yêt ter",كەلیك ، فاسۆلی یێت تەر,بازلاء,"keleek , fasolee yêt ter"
pea,lubiya,لوبیا,بازيلا,lubuya
exclusive,bêparker,بێپارکه‌ر,باستثناء,bêparker
exclusive,derker,ده‌رکه‌ر,باستثناء,derker
constantly,her car,هەر جار,باستمرار,ḧer jar
constantly,hergav,هەرگاڤ,باستمرار,ḧergav
behalf,"li ciyê .., li şûna",ل جیێ ..، ل شوونا,باسمى او لاجلى,"lu jyê .., lu shûna"
school bus,paseka qutabixanê,پاسەکا قوتابخانێ,باص المدرسة,paseka qutabuxanê
invalid,neşer'î,نەشەرعى,باطل,nesher'ee
bunch,îşî,دەستك,باقة,eeshee
bunch (of grapes),îşî,ئیشى,باقة,eeshee
bunch (of large flowers),guriz,گورز,باقة,guruz
Pakistan,pakstan,پاکستان,باكستان,pakstan
unanimous,yekdengî,یه‌کده‌نگی,بالإجماع,deejeetal
unanimously,bi tifaqek temam,ب تفاقه‌ک ته‌مام,بالإجماع,deejeetal
unanimously,bi yekdengî,ب یه‌کده‌نگی,بالإجماع,deejeetal
besides,heriwesa,ھەروەسا,بالإضافة إلى,ḧeruwesa
further,piçekê wêvetir,پچەکێ وێڤەتر,بالإضافة إلى ذلك,puchekê wêvetur
further,pêvetir,پێڤه‌تر,بالإضافة إلى ذلك,pêvetur
further,wêvetir,وێڤەتر,بالإضافة إلى ذلك,puchekê wêvetur
vicariously,bi qurbanî,ب قوربانی,بالإنابة,bu qurbanee
certainty,"esehî, msogerî, tekîd",ئه‌سه‌هی، مسۆگه‌ری، ته‌کید,بالتأكيد,"eseḧee, msogeree, tekeed"
sure,"ekîd, pişitrast",ئه‌کید، پشتراست,بالتأكيد,"ekeed, pushutrast"
sure,ewle,ئه‌وله‌,بالتأكيد,"ekeed, pushutrast"
sure,pişit rast dibit,پشت راست دبیت,بالتأكيد,pushut rast dubut
sure,"misoger, bêguman",مسۆگه‌ر، بێگومان,بالتأكيد,"musoger, bêguman"
surely,ekîd,ئه‌کید,بالتاكيد,ekeed
surely,bêguman,بێگومان,بالتاكيد,bêguman
consenting,"qayîl, razî",قاییل، ڕازی,بالتراضي,"qayeel, razee"
in detail,bi hûratî,ب هووراتی,بالتفصيل,bu ḧûratee
chattering,qiriçeqiriç,قرچەقرچ,بالثرثرة,quruchequruch
wholesale,cimilefiroşî,جمله‌فرۆشی,بالجملة,jmulefuroshee
wholesale,firotina seryek,فرۆتنا سه‌ریه‌ک,بالجملة,furotuna seryek
wholesale,komfiroş,کۆمفرۆش,بالجملة,komfurosh
exactly,tam,تام,بالضبط,ereq
necessarily,bi pêvan,ب پێڤان,بالضرورة,bu pêvan
of course,ekîd,ئەکید,بالطبع,ekeed
of course,çi pênevêt,چ پێنە‌ڤێت,بالطبع,chu pênevêt
of course,helbet,هەلبەت,بالطبع,ḧelbet
adult,baliq,بالق,بالغ,baluq
adult,mirovê mezin,مرۆڤێ مه‌زن,بالغ,murovê mezun
inborn,siruştî,سروشتی,بالفطرة,surushtee
by force,bi zorî,ب زۆری,بالقوة,bu zoree
with respect to,sebaret,سه‌باره‌ت,بالنسبة إلى,sebaret
sink,"meẍsel, qestel",مەغسەل، قەستەل,بالوعة,"meẍsel, qestel"
okra,bamî,بامی,بامية,bamee
panorama,panurama,پانوراما,بانوراما,panurama
panorama,dîmen,دیمه‌ن,بانوراما,deemen
pale,spî,سپی,باهت,bes
dimly,tarî,تاری,باهتة,"reḧend, aluyê"
dimly,şêlî,شێلی,باهتة,seree'
pale,pêtî,پێتی,باھت,pêtee
pale,zeratî,زەراتى,باھت,zeratee
slowly,"hêdî hêdî , reḧet",ھێدی ھێدی ، رەحەت,ببطء,"ḧêdee ḧêdee , reḧet"
parrot,bebeẍra,بەبەغرا,ببغاء,bebeẍra
amputation,pêkîn,پێکین,بتر,pêkeen
propagate,diguhêzit,دگوھێزت,بث,duguḧêzt
vitalize,vejandin,ڤه‌ژاندن,بث الحيوية,vezhandun
energize,çalak kirin,چالاک کرن,بث الطاقة,chalak krun
pimple,pizik,پزک,بثرة,puzuk
pimple,xişrûk,خشرووک,بثرة,xushrûk
Bathsheba,beşşebe',بەششەبەع,بثشبع,beshshebe'
next to,"bi rex ~ ve , li rexê",ب رەخ ~ ڤە ، ل رەخێ,بجانب,"bu rex ~ ve , lu rexê"
next to,tenşit,ته‌نشت,بجانب,tenshut
earnestly,ji dil,ژ دل,بجد,zhu dul
earnestly,leza,لەزا,بجد,leza
deservedly,mafdar bûn,مافدار بوون,بجدارة,"rast , durust"
swan,qaz,قاز,بجعة,qaz
sailor,deryavan,ده‌ریاڤان,بحار,"ḧafurree , afurr"
examine,azmûn kirin,ئازموون کرن,بحث,"pushknee , lênêree"
examine,îmtîhankirin,ئیمتیهانکرن,بحث,"pushknee , lênêree"
examine,test kirin,ته‌ست کرن,بحث,"pushknee , lênêree"
examine,ceribandin,جه‌رباندن,بحث,"pushknee , lênêree"
examine,saqî kirin,ساقی کرن,بحث,"pushknee , lênêree"
explore,"vekolîn, serhilbûn",ڤه‌کۆلین، سه‌رهلبوون,بحث,"vekoleen, serḧulbûn"
explore,"gercust, lê kolîn",گه‌رجوست، لێ کۆلین,بحث,"gerjst, lê koleen"
research,lê vekolîn,لێ ڤه‌کۆلین,بحث,lê geryan
research,lê geryan,لێ گەریان,بحث,lê geryan
search,pişkinîn,پشکنین,بحث,lê geryan
search,dûvçûn,دووڤچوون,بحث,dûvchûn
search,fekulîn,فەكولین,بحث,fekleen
search,lê gerîn,لێ گه‌رین,بحث,fekleen
seek,qest kirin,قەست کرن,بحث,qest krun
seek,lê digerît,لێ دگەریت,بحث,lê dugereet
seek,lê gerîn,لێ گه‌رین,بحث,qest krun
scientific research,vekolînên zanistî,ڤە‌كۆلینێن زانستى,بحث علمي,vekoleenên zanustee
sea,derya,دەریا,بحر,derya
carefully,bi baldarî,ب بالداری,بحرص,"taze, ḧêdeeka, nermenerm"
carefully,bi dîqetî,ب دیقه‌تی,بحرص,"taze, ḧêdeeka, nermenerm"
carefully,bi hişyarî,ب هشیاری,بحرص,"taze, ḧêdeeka, nermenerm"
carefully,bi hwîrî,ب هویری,بحرص,"taze, ḧêdeeka, nermenerm"
marine,deryayî,دەریایى,بحري,deryayee
naval,deryayî,دەریایى,بحري,deryayee
freely,bi azadî,ب ئازادی,بحرية,bu azadee
freely,bi serbestî,ب سه‌ربه‌ستی,بحرية,bu serbestee
freely,bi herweyî,ب هه‌روه‌یی,بحرية,bu ḧerweyee
learn by heart,ji ber kirin,ژ به‌ر کرن,بحفظ عن ظهر قلب,zhu ber krun
wisely,"berfre , bi pendî",بەرفرە ، ب په‌ندی,بحكمة,"berfre , bu pendee"
lake,deryaçe,دەریاچە,بحيرة,deryache
lively,zindî,زندى,بحيوية,zundee
steam,hilim,ھلم,بخار,ḧulum
vapor,helim,هه‌لم,بخار,ḧulum
vapor,hilim,ھلم,بخار,ḧulum
vapour,hilim,ھلم,بخار,ḧulum
particularly,birrengekî taybet,بڕەنگەكى تایبەت,بخاصة,burrengekee taybet
concerning,derheq,دەرهەق,بخصوص,derḧeq
concerning,sebaret,سه‌باره‌ت,بخصوص,sebaret
regarding,derbare,ده‌رباره,بخصوص,derbare
regarding,sebaret,سه‌باره‌ت,بخصوص,sebaret
stingy,temah,ته‌ماھ,بخيل,temaḧ
commence,despêdiket,دەسپێدكەت,بدء,despêduket
initiate,dest pêdiket,دەست پێدكەت,بدء,dest pêduket
aboriginal,eslî,ئەسلى,بدائي,"eslee, resen"
aboriginal,resen,ڕه‌سه‌ن,بدائي,"eslee, resen"
obesity,qelewbûn,قه‌له‌وبوون,بدانة,tepe
start,destpê kirin,دەستپێ کرن,بداية,destpê krun
squander,dêris,دێرس,بدد,dêrus
squander,"feşartin, isiraf",فه‌شارتن، ئسراف,بدد,"feshartun, usuraf"
apposition,biservekirin,بسه‌رڤه‌کرن,بدل,pêve
apposition,pêvekirin,پێڤه‌کرن,بدل,pêve
rather,pitir,پتر,بدلا,putur
instead of him,ji pêş wî ve,ژ پێش وی ڤە,بدلا عنھ,zhu pêsh wee ve
instead of him,li şwîna wî,ل شوینا وی,بدلا عنھ,lu shweena wee
instead of,pê ji  ve,پێ ژ  ڤە,بدلا من,pê zhu  ve
instead of,şînawê,شیناوێ,بدلا من,sheenawê
instead of me do it,şîna min bike,شینا من بکە,"بدلا مني ,  أن تفعل ذلك",sheena mun buke
suit,bedile,بەدلە,بدلة,bedule
swimming suit,maîu,مایو,بدلة السباحة,maeeu
physically,bi lêşî,ب لێشی,بدنيا,bu lêshee
without,bê,بێ,بدون,bê
without a doubt,bê guman,بێ گومان,بدون أدنى شك,bê guman
costlessly,bi herweyî,ب هه‌روه‌یی,بدون تكلفة,bu ḧerweyee
without paying,bi herweyî,ب هه‌روه‌یی,بدون دفع,bu ḧerweyee
no doubt,bêguman,بێگومان,بدون شك,bêguman
nomad,koçber,کۆچبه‌ر,بدوي,kochber
nomad,koçer,کۆچه‌ر,بدوي,kocher
replacement,siyaset,سیاسەت,بديل,suyaset
surrogate,"cîgir, cêgir",جیگر، جێگر,بديل,"jeegur, jêgur"
surrogateship,berdêlî,به‌ردێلی,بديل,berdêlee
seed,bizir,بزر,بذرة,"tov, tomuk, tovuk"
seed,tov,تۆڤ,بذرة,"tov, tomuk, tovuk"
seed,"tomik, tovik",تۆمک، تۆڤک,بذرة,"tov, tomuk, tovuk"
seed,dindik,دندک,بذرة,dunduk
make every effort,bizav hatin,بزاڤ ھاتن,بذل كل جھد ممكن,buzav ḧatun
sow,tov kirin,تۆڤ کرن,بذور البذر,"chandun , tov krun"
sow,çandin,چاندن,بذور البذر,"chandun , tov krun"
wheat seed,genim,گەنم,بذور القمح,genum
innocent,bê guneh,بێ گونەھ,برئ,bê guneḧ
innocent,paqij,پاقژ,برئ,bê guneḧ
patent,diyar,دیار,براءة الإختراع,duyar
refrigerator,selace,سەلاجە,براد,selaje
stool,stul,ستول,براز,stul
Brazilian,brazîliya,برازیلیا,برازيلي,berrazeelee
mastery,seriwerî,سەروەرى,براعة,seruweree
tower,barû,باروو,برج,barû
tower,birc,برج,برج,burj
tower,buric,بورج,برج,buruj
tower,qube,قوبه‌,برج,qube
tower,minare,منارە,برج,munare
watchtower,burca nubedariyê,بورجا نوبه‌داریێ,برج المراقبة,burja nubedaruyê
knuckle,girêçk,گرێچك,برجمة,gurêchk
cold,sarr,ساڕ,برد,sarr
cold (sickness),serrma,سەڕما,برد,serrma
cold (things),tezî,تەزی,برد,tezee
justify,selmandin,سه‌لماندن,برر,meḧaneduket
justify,mafdar derketin,مافدار ده‌رکه‌تن,برر,meḧaneduket
blossom,peqîna kulîlka,په‌قینا کولیلکا,برعم,peqeena kleelka
bud,bişkoj,بشکۆژ,برعم,bushkozh
screw,biriẍî,برغى,برغي,buruẍee
plum,ḧilîk,حلیك,برقوق,ḧuleek
telegram,tilgiraf,تلگراف,برقية,tulguraf
volcano,burikan,بوركان ، برکان,بركان,burukan
volcano,çîyayê agirî,چییایێ ئاگری,بركان,cheeyayê aguree
volcano,vollkan,ڤۆڵکان,بركان,vollkan
volcanic,volkanî,ڤۆلكانى,بركاني,volkanee
blessing,bereketdarkirin,بەرەكەتداركرن,بركة,bereketdarkrun
blessing,xêr,خێر,بركة,xêr
blessing,xêrûbêr,خێرووبێر,بركة,xêrûbêr
pond,birk,برک,بركة,burk
pond,pendav,په‌نداڤ,بركة,pendav
pond,"ger , qeraẍ av",گەر ، قەراغ ئاڤ,بركة,"ger , qeraẍ av"
barrel,berimîl,بەرمیل,برميل,berumeel
program,beriname,بەرنامە,برنامج,beruname
program,"prugram , berinamc",پروگرام ، بەرنامج,برنامج,"prugram , berunamj"
hippopotamus,hespê avî,ھەسپێ ئاڤی,برنيق,ḧespê avee
coldness,sarbûn,ساربوون,برودة,sarbûn
broccoli,bruklî,بروكلی,بروكلي,bruklee
bronze,briniz,برنز,برونز,brunuz
desert,biyaban,بیابان,برية,buyaban
wilderness,biyaban,بیابان,برية,buyaban
wilderness,"çol , deşit û zozan",چۆل ، ده‌شت و زۆزان,برية,"chol , deshut û zozan"
mail,berîd,به‌رید,بريد,bereed
mail,poste,پۆستە,بريد,poste
mail,namegêrrî,نامه‌گێڕی,بريد,namegêrree
postal,pusteyî,پوستەیى,بريدي,pusteyee
because,çimkî,چمکی,بسبب,chumkee
because,"çinku , çunku , çinkî",چنکو ، چونکو ، چنکی,بسبب,"chunk , chunk , chunkee"
because,ji ber ku,ژ به‌ر کو,بسبب,zhu ber k
because,madem,مادەم,بسبب,madem
because of,daku,داکو,بسبب,dak
because of,ji ber,ژ به‌ر,بسبب,zhu ber
because of,ji dewletserê,ژ ده‌وله‌تسه‌رێ,بسبب,zhu dewletserê
because of,sexmeratî,سه‌خمه‌راتی,بسبب,sexmeratee
due,erk,ئه‌رک,بسبب,shûrbazee krun
due,bac,باج,بسبب,shûrbazee krun
due,maf,ماف,بسبب,shûrbazee krun
because of what,ji ber çî,ژ بەر چی,بسبب ماذا,zhu ber chee
grove,bûstan,بووستان,بستان,bûstan
orchard,bîstan,بیستان,بستان,beestan
orchard,cinîk,جنیك,بستان,jneek
orchard,çem,چەم,بستان,chem
orchard,rez,رەز,بستان,rez
gardener,ḧedîqçî,حەدیقچی,بستاني,ḧedeeqchee
orchardman,rezvan,ڕه‌زڤان,بستاني,rezvan
generously,bi camêrî,ب جامێری,بسخاء,"bu merdee, bu jamêree"
generously,bi merdî,ب مه‌ردی,بسخاء,"bu merdee, bu jamêree"
fast,serî',سەریع,بسرعة,seree'
fast (speed),zû,زوو,بسرعة,zû
fast (speed),lezatî,لەزاتى,بسرعة,lezatee
quickly,"zîka , zû",زیکا ، زوو,بسرعة,"zeeka , zû"
simple,asan,ئاسان,بسيط,asan
simple,sade,سادە,بسيط,sade
heavily,bi giranî,ب گرانی,بشدة,rastee
conditionally,b‌i merc,ب‌ مه‌رج,بشروط,b‌u merj
human,însan,ئینسان,بشري,eensan
human,miruvî,مروڤى,بشري,muruvee
human,mirov,مرۆڤ,بشري,murov
human being,mirov,مرۆڤ,بشري,murov
mankind,miruvayetî,مروڤایەتى,بشرية,muruvayetee
miserably,bi tundî,ب توندی,بشكل بائس,bu tundee
badly,bi çewtî,ب چه‌وتی,بشكل سيئ,bu chewtee
strictly,bi tundî,ب توندی,بشكل صارم,bu tundee
correctly,bi drustî,ب دروستی,بشكل صحيح,bu drustee
dramatically,bi rengekê berçav,ب ڕه‌نگه‌کێ به‌رچاڤ,بشكل كبير,bu rengekê berchav
gratuitously,bi herweyî,ب هه‌روه‌یی,بشكل مجاني,bu ḧerweyee
concretely,bi aşkerayî,ب ئاشکه‌رایی,بشكل ملموس,dest qutan
patiently,bi bêhin firehî,ب بێهن فره‌هی,بصبر,bu bêḧn fureḧee
patiently,bi hedarê,ب هه‌دارێ,بصبر,bu ḧedarê
optics,bînînizanî,بینینزانى,بصريات,beeneenuzanee
spit,tif,تف,بصق,tuf
spit,tûk,تووک,بصق,tûk
onion,pîvaz,پیڤاز,بصل,peevaz
green onion,pîvaz terik,پیڤاز تەرك,بصل اخضر,peevaz teruk
imprint,şeqil,شه‌قل,بصمة,shequl
silently,bêdengî,بێده‌نگی,بصمت,bêdengee
properly,bi serestî,ب سەرەستى,بصورة صحيحة,bu serestee
goods,kel û pelên,كە‌ل و پە‌لێن,بضائع,kel û pelên
goods,mita,متا,بضائع,muta
merchandise,baziriganî diket,بازرگانی دكەت,بضائع,bazuruganee duket
merchandise,kelupelên,كەلوپەلێن,بضائع,kelupelên
stolen goods,talan,تالان,بضائع مسروقة,talan
duck,werdek,وەردەك,بط,werdek
battery,patirî,پاترى,بطارية,paturee
yam,bitataye kelek xuşn,بیتاتایە كەلەك خوشن,بطاطا,butataye kelek xushn
card,"perik , bilî",پەرك ، بلی,بطاقة,"peruk , bulee"
price tag,plêtabihayî,پلێتابھایى,بطاقة الأسعار,plêtabuḧayee
ID card,"cinsî , hewî",جنسی ، هەوی,بطاقة الھوية,"jnsee , ḧewee"
liner,"gemî , firuka hêlê",گەمى یان فروكا ھێلێ,بطانة,"gemee , furuka ḧêlê"
blanket,betenî,بەتەنى,بطانية,betenee
champion,qehreman,قەھرەمان,بطل,qeḧreman
hero,fêris,فێرس,بطل,fêrus
hero,qehreman,قه‌هره‌مان,بطل,qeḧreman
hero,gernas,گه‌رناس,بطل,gernas
hero,mêrxas,مێرخاس,بطل,mêrxas
belly,zik,زك,بطن,zuk
slow,hêdî,ھێدی,بطيء,ḧêdee
slow motion,livîna hêdî,لڤینا ھێدی,بطيء,luveena ḧêdee
sluggish,tembel,ته‌مبه‌ل,بطيئا,êsh
watermelon,zaveşî,زاڤەشی,بطيخ,zaveshee
watermelon,"şitî , şimtî",شتی ، شمتی,بطيخ,"shutee , shumtee"
in other words,ye'nî,یەعنی,بعبارات أخرى,ye'nee
after,pişitî,پشتی,بعد,pushutee
distance,"dîratî , dîrî",دیراتی ، دیری,بعد,"deeratee , deeree"
distance,mesafe,مه‌سافه‌,بعد,mesafe
post,ferimanber,فەرمانبەر,بعد,ferumanber
yet,"hêşita ,hêş",ھێشتا، هێش,بعد,"ḧêshuta ,ḧêsh"
afternoon,paşnîvro,پاشنیڤرۆ,بعد الظھر,pashneevro
afternoon,pişitî nîviro,پشتی نیڤرۆ,بعد الظھر,pushutee neevuro
A.D.,zaîînî,زایینی,بعد الميلاد,zaeeeenee
A.D. 2000 years,sall 2000ê zayînî,ساڵ ٢٠٠٠ێ زایینی,بعد الميلاد 2000 سنة,sall 2000ê zayeenee
day after tomorrow,duzbe,دوزبە,بعد غد,duzbe
day after,roja dî,رۆژا دی,بعد يوم,rozha dee
some,hindek,ھندەك,بعض,ḧundek
sometimes,hindek cara,ھندەك جارا,بعض الأحيان,ḧundek jara
each other,êk û dû,ئێك و دوو,بعضهم البعض,"êk û dû, ḧevdu"
each other,hevdu,هه‌ڤدو,بعضهم البعض,"êk û dû, ḧevdu"
closely,bi hiwîrî,ب هویری,بعناية,"bu ḧuweeree, nêzeekee"
closely,nêzîkî,نێزیکی,بعناية,"bu ḧuweeree, nêzeekee"
mosquito,pêşî,پێشی,بعوض,pêshee
away,dûrve,دوورڤه‌,بعيد,adul
away,dûrka,دوورکا,بعيد,adul
far,dûr,دوور,بعيدا,dûr
far away,dur dest,دور ده‌ست,بعيداً,adul
far away,dûrve,دوورڤه‌,بعيداً,adul
far away,dûrka,دوورکا,بعيداً,adul
Baghdad,beẍda,بەغدا,بغداد,beẍda
mule,hêstir,ھێستر,بغل,ḧêstur
hateful,kerb,کەرب,بغيض,kerb
hateful,kîno,کینۆ,بغيض,keeno
ungodly,bedkar,به‌دكار,بغيض,bedkar
grocery,erizaq,ئەرزاق,بقالة,eruzaq
grocery,kel û pel,که‌ل و په‌ل,بقالة,kel û pel
left over,berimayîk,به‌رماییک,بقايا,berumaykan
leftover,berimayîk,به‌رماییک,بقايا,berumaykan
remainder,ber maykan,بەرمایكان,بقايا,ber maykan
remnant,paş mawe,پاشماوە,بقايا,pash mawe
remnants (of a dead body),rufatên,روفاتێن,بقايا (جثة),rufatên
leftovers,berimayîken,بەرماییكێن,بقايا الطعام,berumaykan
cow,çêl,چێل,بقرة,chêl
heifer,çêla biçûk,چێلا بچووک,بقرة صغيرة,chêla buchûk
heifer,"nahgon, golik",ناهگۆن، گۆلک,بقرة صغيرة,"naḧgon, goluk"
approximately,teqrîben,ته‌قریبه‌ن,بقسوة,teqreeben
roughly,teqrîben,ته‌قریبه‌ن,بقسوة,teqreeben
patch,parçe diket,پارچە دكەت,بقعة,parche duket
speck,"zil, pitik",زل، پتک,بقعة,"zul, putuk"
spot,pitik,پتک,بقعة,putuk
spot,pinî,پنی,بقعة,punee
spot,xal,خال,بقعة,xal
spot,"nuqte, leke",نوقته‌، له‌که‌,بقعة,"nuqte, leke"
tiny spot,"zil, pitik",زل، پتک,بقعة صغيرة,"zul, putuk"
forcefully,bi xurtî,ب خورتی,بقوة,sepandun
forcefully,bi zorî,ب زۆری,بقوة,krêt krun
strongly,bi tundî,ب توندی,بقوة,bu tundee
strongly,bi xurtî,ب خورتی,بقوة,sepandun
vehemently,bi tundî,ب توندی,بقوة,danan
remain,rawestan,راوەستان,بقي,"man , rawestan"
remain,man,مان,بقي,"man , rawestan"
remained,ma,ما,بقي,ma
stayed,ma,ما,بقي,ma
weeping,grî,گرى,بكاء,gree
bacteria,mîkirub,میكروب,بكتيريا,meekrub
first born,nexirî,نەخری,بكر,nexuree
first born child,nexirî,نەخری,بكر,nexuree
firstborn,nexirî,نەخری,بكر,nexuree
openly,aşkera,ئاشكەرا,بكل صراحة,ashkera
How much is this?,eve bi çendêye?,ئەڤە ب چەندێیە؟,بكم ھذا؟,eve bu chendêye?
motionless,bê livîn,بێ لڤین,بلا حركة,bê luveen
in vain,badîhewa,بادیهەوا,بلا فائدة,zhu qesta
in vain,ji qesta,ژ قه‌ستا,بلا فائدة,zhu qesta
homeless,"bêmal, bêxanî",بێمال، بێخانی,بلا مأوى,"bêmal, bêxanee"
